National Total;Nationality;Periodo;Total
08 Castilla - La Mancha;Brazil;2011;117
08 Castilla - La Mancha;Brazil;2010;157
08 Castilla - La Mancha;Brazil;2009;150
08 Castilla - La Mancha;Brazil;2008;330
08 Castilla - La Mancha;Colombia;2021;1.753
08 Castilla - La Mancha;Colombia;2020;2.379
08 Castilla - La Mancha;Colombia;2019;3.587
08 Castilla - La Mancha;Colombia;2018;2.301
08 Castilla - La Mancha;Colombia;2017;1.327
08 Castilla - La Mancha;Colombia;2016;817
08 Castilla - La Mancha;Colombia;2015;233
08 Castilla - La Mancha;Colombia;2014;227
08 Castilla - La Mancha;Colombia;2013;285
08 Castilla - La Mancha;Colombia;2012;345
08 Castilla - La Mancha;Colombia;2011;508
08 Castilla - La Mancha;Colombia;2010;536
08 Castilla - La Mancha;Colombia;2009;918
08 Castilla - La Mancha;Colombia;2008;1.725
08 Castilla - La Mancha;Chile;2021;64
08 Castilla - La Mancha;Chile;2020;44
08 Castilla - La Mancha;Chile;2019;67
08 Castilla - La Mancha;Chile;2018;78
08 Castilla - La Mancha;Chile;2017;51
08 Castilla - La Mancha;Chile;2016;40
08 Castilla - La Mancha;Chile;2015;33
08 Castilla - La Mancha;Chile;2014;29
08 Castilla - La Mancha;Chile;2013;26
08 Castilla - La Mancha;Chile;2012;45
08 Castilla - La Mancha;Chile;2011;42
08 Castilla - La Mancha;Chile;2010;49
08 Castilla - La Mancha;Chile;2009;73
08 Castilla - La Mancha;Chile;2008;113
08 Castilla - La Mancha;Ecuador;2021;201
08 Castilla - La Mancha;Ecuador;2020;213
08 Castilla - La Mancha;Ecuador;2019;330
08 Castilla - La Mancha;Ecuador;2018;262
08 Castilla - La Mancha;Ecuador;2017;211
08 Castilla - La Mancha;Ecuador;2016;124
08 Castilla - La Mancha;Ecuador;2015;108
08 Castilla - La Mancha;Ecuador;2014;121
08 Castilla - La Mancha;Ecuador;2013;121
08 Castilla - La Mancha;Ecuador;2012;130
08 Castilla - La Mancha;Ecuador;2011;223
08 Castilla - La Mancha;Ecuador;2010;327
08 Castilla - La Mancha;Ecuador;2009;621
08 Castilla - La Mancha;Ecuador;2008;1.090
08 Castilla - La Mancha;Paraguay;2021;198
08 Castilla - La Mancha;Paraguay;2020;254
08 Castilla - La Mancha;Paraguay;2019;463
08 Castilla - La Mancha;Paraguay;2018;355
08 Castilla - La Mancha;Paraguay;2017;303
08 Castilla - La Mancha;Paraguay;2016;268
08 Castilla - La Mancha;Paraguay;2015;204
08 Castilla - La Mancha;Paraguay;2014;171
08 Castilla - La Mancha;Paraguay;2013;200
08 Castilla - La Mancha;Paraguay;2012;249
08 Castilla - La Mancha;Paraguay;2011;385
08 Castilla - La Mancha;Paraguay;2010;438
08 Castilla - La Mancha;Paraguay;2009;462
08 Castilla - La Mancha;Paraguay;2008;787
08 Castilla - La Mancha;Peru;2021;631
08 Castilla - La Mancha;Peru;2020;809
08 Castilla - La Mancha;Peru;2019;1.191
08 Castilla - La Mancha;Peru;2018;831
08 Castilla - La Mancha;Peru;2017;519
08 Castilla - La Mancha;Peru;2016;226
08 Castilla - La Mancha;Peru;2015;132
08 Castilla - La Mancha;Peru;2014;134
08 Castilla - La Mancha;Peru;2013;128
08 Castilla - La Mancha;Peru;2012;194
08 Castilla - La Mancha;Peru;2011;300
08 Castilla - La Mancha;Peru;2010;362
08 Castilla - La Mancha;Peru;2009;568
08 Castilla - La Mancha;Peru;2008;1.133
08 Castilla - La Mancha;Uruguay;2021;32
08 Castilla - La Mancha;Uruguay;2020;51
08 Castilla - La Mancha;Uruguay;2019;78
08 Castilla - La Mancha;Uruguay;2018;48
08 Castilla - La Mancha;Uruguay;2017;35
08 Castilla - La Mancha;Uruguay;2016;40
08 Castilla - La Mancha;Uruguay;2015;20
08 Castilla - La Mancha;Uruguay;2014;26
08 Castilla - La Mancha;Uruguay;2013;11
08 Castilla - La Mancha;Uruguay;2012;23
08 Castilla - La Mancha;Uruguay;2011;22
08 Castilla - La Mancha;Uruguay;2010;28
08 Castilla - La Mancha;Uruguay;2009;28
08 Castilla - La Mancha;Uruguay;2008;81
08 Castilla - La Mancha;Venezuela;2021;778
08 Castilla - La Mancha;Venezuela;2020;1.033
08 Castilla - La Mancha;Venezuela;2019;1.720
08 Castilla - La Mancha;Venezuela;2018;1.331
08 Castilla - La Mancha;Venezuela;2017;681
08 Castilla - La Mancha;Venezuela;2016;378
08 Castilla - La Mancha;Venezuela;2015;200
08 Castilla - La Mancha;Venezuela;2014;131
08 Castilla - La Mancha;Venezuela;2013;113
08 Castilla - La Mancha;Venezuela;2012;92
08 Castilla - La Mancha;Venezuela;2011;124
08 Castilla - La Mancha;Venezuela;2010;118
08 Castilla - La Mancha;Venezuela;2009;101
08 Castilla - La Mancha;Venezuela;2008;146
08 Castilla - La Mancha;Other South American countries;2021;0
08 Castilla - La Mancha;Other South American countries;2020;0
08 Castilla - La Mancha;Other South American countries;2019;0
08 Castilla - La Mancha;Other South American countries;2018;0
08 Castilla - La Mancha;Other South American countries;2017;0
08 Castilla - La Mancha;Other South American countries;2016;1
08 Castilla - La Mancha;Other South American countries;2015;""
08 Castilla - La Mancha;Other South American countries;2014;""
08 Castilla - La Mancha;Other South American countries;2013;""
08 Castilla - La Mancha;Other South American countries;2012;""
08 Castilla - La Mancha;Other South American countries;2011;""
08 Castilla - La Mancha;Other South American countries;2010;""
08 Castilla - La Mancha;Other South American countries;2009;""
08 Castilla - La Mancha;Other South American countries;2008;1
08 Castilla - La Mancha;De Asia;2021;535
08 Castilla - La Mancha;De Asia;2020;395
08 Castilla - La Mancha;De Asia;2019;782
08 Castilla - La Mancha;De Asia;2018;746
08 Castilla - La Mancha;De Asia;2017;707
08 Castilla - La Mancha;De Asia;2016;530
08 Castilla - La Mancha;De Asia;2015;546
08 Castilla - La Mancha;De Asia;2014;447
08 Castilla - La Mancha;De Asia;2013;456
08 Castilla - La Mancha;De Asia;2012;604
08 Castilla - La Mancha;De Asia;2011;548
08 Castilla - La Mancha;De Asia;2010;475
08 Castilla - La Mancha;De Asia;2009;524
08 Castilla - La Mancha;De Asia;2008;852
08 Castilla - La Mancha;Bangladesh;2021;13
08 Castilla - La Mancha;Bangladesh;2020;15
08 Castilla - La Mancha;Bangladesh;2019;15
08 Castilla - La Mancha;Bangladesh;2018;17
08 Castilla - La Mancha;Bangladesh;2017;13
08 Castilla - La Mancha;Bangladesh;2016;11
08 Castilla - La Mancha;Bangladesh;2015;16
08 Castilla - La Mancha;Bangladesh;2014;25
08 Castilla - La Mancha;Bangladesh;2013;36
08 Castilla - La Mancha;Bangladesh;2012;68
08 Castilla - La Mancha;Bangladesh;2011;36
08 Castilla - La Mancha;Bangladesh;2010;11
08 Castilla - La Mancha;Bangladesh;2009;16
08 Castilla - La Mancha;Bangladesh;2008;10
08 Castilla - La Mancha;China;2021;110
08 Castilla - La Mancha;China;2020;85
08 Castilla - La Mancha;China;2019;280
08 Castilla - La Mancha;China;2018;288
08 Castilla - La Mancha;China;2017;359
08 Castilla - La Mancha;China;2016;230
08 Castilla - La Mancha;China;2015;310
08 Castilla - La Mancha;China;2014;224
08 Castilla - La Mancha;China;2013;209
08 Castilla - La Mancha;China;2012;295
08 Castilla - La Mancha;China;2011;312
08 Castilla - La Mancha;China;2010;252
08 Castilla - La Mancha;China;2009;343
08 Castilla - La Mancha;China;2008;641
08 Castilla - La Mancha;Philippines;2021;8
08 Castilla - La Mancha;Philippines;2020;11
08 Castilla - La Mancha;Philippines;2019;10
08 Castilla - La Mancha;Philippines;2018;23
08 Castilla - La Mancha;Philippines;2017;14
08 Castilla - La Mancha;Philippines;2016;10
08 Castilla - La Mancha;Philippines;2015;13
08 Castilla - La Mancha;Philippines;2014;8
08 Castilla - La Mancha;Philippines;2013;8
08 Castilla - La Mancha;Philippines;2012;10
08 Castilla - La Mancha;Philippines;2011;6
08 Castilla - La Mancha;Philippines;2010;7
08 Castilla - La Mancha;Philippines;2009;18
08 Castilla - La Mancha;Philippines;2008;21
08 Castilla - La Mancha;India;2021;23
08 Castilla - La Mancha;India;2020;19
08 Castilla - La Mancha;India;2019;57
08 Castilla - La Mancha;India;2018;51
08 Castilla - La Mancha;India;2017;28
08 Castilla - La Mancha;India;2016;33
08 Castilla - La Mancha;India;2015;43
08 Castilla - La Mancha;India;2014;23
08 Castilla - La Mancha;India;2013;29
08 Castilla - La Mancha;India;2012;33
08 Castilla - La Mancha;India;2011;25
08 Castilla - La Mancha;India;2010;30
08 Castilla - La Mancha;India;2009;46
08 Castilla - La Mancha;India;2008;52
08 Castilla - La Mancha;Pakistan;2021;153
08 Castilla - La Mancha;Pakistan;2020;125
08 Castilla - La Mancha;Pakistan;2019;212
08 Castilla - La Mancha;Pakistan;2018;134
08 Castilla - La Mancha;Pakistan;2017;119
08 Castilla - La Mancha;Pakistan;2016;101
08 Castilla - La Mancha;Pakistan;2015;64
08 Castilla - La Mancha;Pakistan;2014;75
08 Castilla - La Mancha;Pakistan;2013;67
08 Castilla - La Mancha;Pakistan;2012;110
08 Castilla - La Mancha;Pakistan;2011;94
08 Castilla - La Mancha;Pakistan;2010;130
08 Castilla - La Mancha;Pakistan;2009;36
08 Castilla - La Mancha;Pakistan;2008;56
08 Castilla - La Mancha;Other Asian countries;2021;228
08 Castilla - La Mancha;Other Asian countries;2020;140
08 Castilla - La Mancha;Other Asian countries;2019;208
08 Castilla - La Mancha;Other Asian countries;2018;233
08 Castilla - La Mancha;Other Asian countries;2017;174
08 Castilla - La Mancha;Other Asian countries;2016;144
08 Castilla - La Mancha;Other Asian countries;2015;102
08 Castilla - La Mancha;Other Asian countries;2014;93
08 Castilla - La Mancha;Other Asian countries;2013;108
08 Castilla - La Mancha;Other Asian countries;2012;88
08 Castilla - La Mancha;Other Asian countries;2011;75
08 Castilla - La Mancha;Other Asian countries;2010;45
08 Castilla - La Mancha;Other Asian countries;2009;64
08 Castilla - La Mancha;Other Asian countries;2008;72
08 Castilla - La Mancha;De Oceanía;2021;5
08 Castilla - La Mancha;De Oceanía;2020;2
08 Castilla - La Mancha;De Oceanía;2019;7
08 Castilla - La Mancha;De Oceanía;2018;6
08 Castilla - La Mancha;De Oceanía;2017;8
08 Castilla - La Mancha;De Oceanía;2016;12
08 Castilla - La Mancha;De Oceanía;2015;4
08 Castilla - La Mancha;De Oceanía;2014;11
08 Castilla - La Mancha;De Oceanía;2013;6
08 Castilla - La Mancha;De Oceanía;2012;2
08 Castilla - La Mancha;De Oceanía;2011;4
08 Castilla - La Mancha;De Oceanía;2010;7
08 Castilla - La Mancha;De Oceanía;2009;3
08 Castilla - La Mancha;De Oceanía;2008;4
08 Castilla - La Mancha;Stateless persons;2021;33
08 Castilla - La Mancha;Stateless persons;2020;9
08 Castilla - La Mancha;Stateless persons;2019;28
08 Castilla - La Mancha;Stateless persons;2018;25
08 Castilla - La Mancha;Stateless persons;2017;22
08 Castilla - La Mancha;Stateless persons;2016;18
08 Castilla - La Mancha;Stateless persons;2015;7
08 Castilla - La Mancha;Stateless persons;2014;8
08 Castilla - La Mancha;Stateless persons;2013;2
08 Castilla - La Mancha;Stateless persons;2012;1
08 Castilla - La Mancha;Stateless persons;2011;2
08 Castilla - La Mancha;Stateless persons;2010;4
08 Castilla - La Mancha;Stateless persons;2009;1
08 Castilla - La Mancha;Stateless persons;2008;6
09 Cataluña;Total;2021;113.022
09 Cataluña;Total;2020;100.796
09 Cataluña;Total;2019;169.334
09 Cataluña;Total;2018;144.461
09 Cataluña;Total;2017;123.308
09 Cataluña;Total;2016;93.921
09 Cataluña;Total;2015;79.328
09 Cataluña;Total;2014;69.476
09 Cataluña;Total;2013;65.001
09 Cataluña;Total;2012;70.162
09 Cataluña;Total;2011;86.749
09 Cataluña;Total;2010;84.959
09 Cataluña;Total;2009;86.244
09 Cataluña;Total;2008;137.013
09 Cataluña;Spanish ;2021;13.251
09 Cataluña;Spanish ;2020;9.432
09 Cataluña;Spanish ;2019;15.044
09 Cataluña;Spanish ;2018;14.139
09 Cataluña;Spanish ;2017;14.557
09 Cataluña;Spanish ;2016;11.062
09 Cataluña;Spanish ;2015;9.302
09 Cataluña;Spanish ;2014;7.127
09 Cataluña;Spanish ;2013;5.472
09 Cataluña;Spanish ;2012;5.299
09 Cataluña;Spanish ;2011;5.879
09 Cataluña;Spanish ;2010;5.347
09 Cataluña;Spanish ;2009;4.817
09 Cataluña;Spanish ;2008;5.490
09 Cataluña;País de la UE27_2020 sin España;2021;23.362
09 Cataluña;País de la UE27_2020 sin España;2020;18.078
09 Cataluña;País de la UE27_2020 sin España;2019;""
09 Cataluña;País de la UE27_2020 sin España;2018;""
09 Cataluña;País de la UE27_2020 sin España;2017;""
09 Cataluña;País de la UE27_2020 sin España;2016;""
09 Cataluña;País de la UE27_2020 sin España;2015;""
09 Cataluña;País de la UE27_2020 sin España;2014;""
09 Cataluña;País de la UE27_2020 sin España;2013;""
09 Cataluña;País de la UE27_2020 sin España;2012;""
09 Cataluña;País de la UE27_2020 sin España;2011;""
09 Cataluña;País de la UE27_2020 sin España;2010;""
09 Cataluña;País de la UE27_2020 sin España;2009;""
09 Cataluña;País de la UE27_2020 sin España;2008;""
09 Cataluña;País de la UE28 sin España;2021;""
09 Cataluña;País de la UE28 sin España;2020;""
09 Cataluña;País de la UE28 sin España;2019;30.109
09 Cataluña;País de la UE28 sin España;2018;27.823
09 Cataluña;País de la UE28 sin España;2017;27.767
09 Cataluña;País de la UE28 sin España;2016;21.777
09 Cataluña;País de la UE28 sin España;2015;20.414
09 Cataluña;País de la UE28 sin España;2014;18.134
09 Cataluña;País de la UE28 sin España;2013;15.802
09 Cataluña;País de la UE28 sin España;2012;16.591
09 Cataluña;País de la UE28 sin España;2011;20.464
09 Cataluña;País de la UE28 sin España;2010;20.081
09 Cataluña;País de la UE28 sin España;2009;19.760
09 Cataluña;País de la UE28 sin España;2008;27.253
09 Cataluña;Belgium;2021;558
09 Cataluña;Belgium;2020;421
09 Cataluña;Belgium;2019;572
09 Cataluña;Belgium;2018;501
09 Cataluña;Belgium;2017;518
09 Cataluña;Belgium;2016;429
09 Cataluña;Belgium;2015;426
09 Cataluña;Belgium;2014;321
09 Cataluña;Belgium;2013;338
09 Cataluña;Belgium;2012;318
09 Cataluña;Belgium;2011;271
09 Cataluña;Belgium;2010;315
09 Cataluña;Belgium;2009;284
09 Cataluña;Belgium;2008;365
09 Cataluña;Bulgaria;2021;443
09 Cataluña;Bulgaria;2020;356
09 Cataluña;Bulgaria;2019;594
09 Cataluña;Bulgaria;2018;567
09 Cataluña;Bulgaria;2017;622
09 Cataluña;Bulgaria;2016;565
09 Cataluña;Bulgaria;2015;531
09 Cataluña;Bulgaria;2014;547
09 Cataluña;Bulgaria;2013;517
09 Cataluña;Bulgaria;2012;602
09 Cataluña;Bulgaria;2011;857
09 Cataluña;Bulgaria;2010;735
09 Cataluña;Bulgaria;2009;707
09 Cataluña;Bulgaria;2008;1.104
09 Cataluña;Denmark;2021;119
09 Cataluña;Denmark;2020;98
09 Cataluña;Denmark;2019;205
09 Cataluña;Denmark;2018;167
09 Cataluña;Denmark;2017;170
09 Cataluña;Denmark;2016;124
09 Cataluña;Denmark;2015;104
09 Cataluña;Denmark;2014;128
09 Cataluña;Denmark;2013;104
09 Cataluña;Denmark;2012;132
09 Cataluña;Denmark;2011;110
09 Cataluña;Denmark;2010;130
09 Cataluña;Denmark;2009;78
09 Cataluña;Denmark;2008;90
09 Cataluña;Finland;2021;91
09 Cataluña;Finland;2020;80
09 Cataluña;Finland;2019;109
09 Cataluña;Finland;2018;148
09 Cataluña;Finland;2017;156
09 Cataluña;Finland;2016;120
09 Cataluña;Finland;2015;101
09 Cataluña;Finland;2014;114
09 Cataluña;Finland;2013;87
09 Cataluña;Finland;2012;103
09 Cataluña;Finland;2011;116
09 Cataluña;Finland;2010;107
09 Cataluña;Finland;2009;85
09 Cataluña;Finland;2008;95
09 Cataluña;France;2021;3.980
09 Cataluña;France;2020;3.369
09 Cataluña;France;2019;4.023
09 Cataluña;France;2018;3.948
09 Cataluña;France;2017;4.114
09 Cataluña;France;2016;3.338
09 Cataluña;France;2015;3.204
09 Cataluña;France;2014;2.879
09 Cataluña;France;2013;2.553
09 Cataluña;France;2012;2.413
09 Cataluña;France;2011;2.602
09 Cataluña;France;2010;2.625
09 Cataluña;France;2009;2.533
09 Cataluña;France;2008;3.067
09 Cataluña;Ireland;2021;427
09 Cataluña;Ireland;2020;276
09 Cataluña;Ireland;2019;366
09 Cataluña;Ireland;2018;331
09 Cataluña;Ireland;2017;306
09 Cataluña;Ireland;2016;223
09 Cataluña;Ireland;2015;216
09 Cataluña;Ireland;2014;180
09 Cataluña;Ireland;2013;208
09 Cataluña;Ireland;2012;181
09 Cataluña;Ireland;2011;214
09 Cataluña;Ireland;2010;189
09 Cataluña;Ireland;2009;186
09 Cataluña;Ireland;2008;162
09 Cataluña;Italy;2021;8.185
09 Cataluña;Italy;2020;5.997
09 Cataluña;Italy;2019;9.724
09 Cataluña;Italy;2018;8.170
09 Cataluña;Italy;2017;7.636
09 Cataluña;Italy;2016;5.345
09 Cataluña;Italy;2015;4.729
09 Cataluña;Italy;2014;3.595
09 Cataluña;Italy;2013;3.078
09 Cataluña;Italy;2012;3.087
09 Cataluña;Italy;2011;3.218
09 Cataluña;Italy;2010;3.445
09 Cataluña;Italy;2009;3.714
09 Cataluña;Italy;2008;4.851
09 Cataluña;Netherlands;2021;835
09 Cataluña;Netherlands;2020;714
09 Cataluña;Netherlands;2019;964
09 Cataluña;Netherlands;2018;897
09 Cataluña;Netherlands;2017;937
09 Cataluña;Netherlands;2016;723
09 Cataluña;Netherlands;2015;697
09 Cataluña;Netherlands;2014;633
09 Cataluña;Netherlands;2013;591
09 Cataluña;Netherlands;2012;609
09 Cataluña;Netherlands;2011;692
09 Cataluña;Netherlands;2010;597
09 Cataluña;Netherlands;2009;571
09 Cataluña;Netherlands;2008;775
09 Cataluña;Poland;2021;732
09 Cataluña;Poland;2020;534
09 Cataluña;Poland;2019;818
09 Cataluña;Poland;2018;741
09 Cataluña;Poland;2017;792
09 Cataluña;Poland;2016;588
09 Cataluña;Poland;2015;609
09 Cataluña;Poland;2014;614
09 Cataluña;Poland;2013;588
09 Cataluña;Poland;2012;636
09 Cataluña;Poland;2011;749
09 Cataluña;Poland;2010;788
09 Cataluña;Poland;2009;832
09 Cataluña;Poland;2008;1.597
09 Cataluña;Portugal;2021;1.179
09 Cataluña;Portugal;2020;895
09 Cataluña;Portugal;2019;1.494
09 Cataluña;Portugal;2018;1.492
09 Cataluña;Portugal;2017;1.406
09 Cataluña;Portugal;2016;1.150
09 Cataluña;Portugal;2015;978
09 Cataluña;Portugal;2014;834
09 Cataluña;Portugal;2013;742
09 Cataluña;Portugal;2012;799
09 Cataluña;Portugal;2011;855
09 Cataluña;Portugal;2010;950
09 Cataluña;Portugal;2009;1.128
09 Cataluña;Portugal;2008;2.166
09 Cataluña;Germany;2021;1.952
09 Cataluña;Germany;2020;1.408
09 Cataluña;Germany;2019;1.773
09 Cataluña;Germany;2018;1.722
09 Cataluña;Germany;2017;1.726
09 Cataluña;Germany;2016;1.338
09 Cataluña;Germany;2015;1.210
09 Cataluña;Germany;2014;1.234
09 Cataluña;Germany;2013;1.153
09 Cataluña;Germany;2012;1.276
09 Cataluña;Germany;2011;1.298
09 Cataluña;Germany;2010;1.296
09 Cataluña;Germany;2009;1.362
09 Cataluña;Germany;2008;1.685
09 Cataluña;Romania;2021;2.961
09 Cataluña;Romania;2020;2.478
09 Cataluña;Romania;2019;4.464
09 Cataluña;Romania;2018;4.747
09 Cataluña;Romania;2017;5.056
09 Cataluña;Romania;2016;4.456
09 Cataluña;Romania;2015;4.445
09 Cataluña;Romania;2014;4.263
09 Cataluña;Romania;2013;3.129
09 Cataluña;Romania;2012;3.510
09 Cataluña;Romania;2011;6.440
09 Cataluña;Romania;2010;6.246
09 Cataluña;Romania;2009;5.568
09 Cataluña;Romania;2008;8.255
09 Cataluña;Sweden;2021;375
09 Cataluña;Sweden;2020;254
09 Cataluña;Sweden;2019;457
09 Cataluña;Sweden;2018;430
09 Cataluña;Sweden;2017;419
09 Cataluña;Sweden;2016;349
09 Cataluña;Sweden;2015;322
09 Cataluña;Sweden;2014;269
09 Cataluña;Sweden;2013;309
09 Cataluña;Sweden;2012;416
09 Cataluña;Sweden;2011;409
09 Cataluña;Sweden;2010;396
09 Cataluña;Sweden;2009;402
09 Cataluña;Sweden;2008;382
09 Cataluña;Lithuania;2021;175
09 Cataluña;Lithuania;2020;131
