Year,Nationality code,Sex,Age group,Immigrant count,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,Public sector corrupt exchanges,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,PRY,Females,15 - 24,4006,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Both,25 - 34,5928,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Females,25 - 34,3780,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,45 - 54,852,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,55 - 64,230,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,65+,54,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,All,11436,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Males,0 - 14,850,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,PRY,Males,15 - 24,1778,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,PRY,Males,25 - 34,2147,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,PRY,Females,35 - 44,1631,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Both,15 - 24,5783,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,0 - 14,1734,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PAK,Males,All,7299,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Both,65+,8,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Both,All,8872,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Females,0 - 14,480,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Females,15 - 24,315,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Females,25 - 34,406,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Females,35 - 44,257,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Females,45 - 54,95,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Females,55 - 64,12,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
